Category,2020*,2021,2022,2023,2024,2025,Total
Administrative (VIS Group),"$8,000","$12,000","$12,100","$15,100","$15,400","$14,700","$77,300"
Landscaping & Maint,"$8,200","$12,000","$17,200","$15,300","$16,100","$18,300","$87,100"
Stormwater Maint (Ponds),"$0","$0","$20,372","$10,293","$10,312","$13,559","$54,536"
Developer (Lotus House),"$0","$15,500","$14,500","$10,500","$4,500","$7,500","$52,500"
Reserve Transfers,"$3,860","$4,146","$6,000","$10,000","$11,000","$11,722","$46,728"
Utilities (Water/Elec),"$2,600","$12,300","$2,500","$4,500","$6,000","$4,500","$32,400"
Other (Legal/Ins/Audit),"$3,500","$4,100","$4,000","$4,500","$5,000","$5,000","$26,100"
TOTAL OUTFLOW,"$26,160","$60,046","$76,672","$70,193","$68,312","$75,281","$376,664"
